condition,celltype,peak_score,peak_n_sig
Veh,Monocytes,1.024141401052475,0
DQ,Monocytes,1.040902528166771,0
Veh,Neutrophil,0.9630780244695731,5549
DQ,Neutrophil,0.9658394011957891,6595
Veh,Macrophage,0.6165072960457925,349
DQ,Macrophage,0.4893558852374553,3
Veh,HSPC,0.28774866759777074,1
DQ,HSPC,0.7493448462979546,2
DQ,MSC,0.17521762400865556,0
Veh,B-cell,1.3613400734230425,1296
DQ,B-cell,1.1231174862076498,1495
Veh,T-cell,0.38456980139017105,0
DQ,T-cell,0.6628898176653633,1
Veh,NK,0.16696648022224164,1
DQ,NK,0.34510890651365805,1
Veh,Erythroid,0.38424921344066487,6671
DQ,Erythroid,0.4337827958937349,6896
Veh,Plasma,0.17379766702651978,0
DQ,Plasma,0.17500082701444625,0
